Rank,Title,How to publish in this journal,format,Type,Issn,Country,Publisher,Coverage,Categories
1,CA - A Cancer Journal for Clinicians,"http://mchelp.manuscriptcentral.com/gethelpnow/, http://mchelp.manuscriptcentral.com/gethelpnow/tutorials/authorfileupload.pdf, http://mchelp.manuscriptcentral.com/gethelpnow/tutorials/author.pdf","doc, docx, ppt, pptx, xls, xlsx, htm, txt, wpd, pdf, ai, cgm, dicom, eps, fig, fits, gif, jpg, jpeg, png, ps, tif, tiff, xwd, tex",journal,"15424863, 00079235",United States,Wiley-Blackwell,1950-ongoing,Hematology (Q1); Oncology (Q1)
2,MMWR. Recommendations and reports : Morbidity and mortality weekly report. Recommendations and reports / Centers for Disease Control,"http://mchelp.manuscriptcentral.com/gethelpnow/, http://mchelp.manuscriptcentral.com/gethelpnow/tutorials/authorfileupload.pdf, http://mchelp.manuscriptcentral.com/gethelpnow/tutorials/author.pdf","doc, docx, ppt, pptx, xls, xlsx, htm, txt, wpd, pdf, ai, cgm, dicom, eps, fig, fits, gif, jpg, jpeg, png, ps, tif, tiff, xwd, tex",journal,"10575987, 15458601",United States,Centers for Disease Control and Prevention (CDC),1990-ongoing,"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)"
3,Nature Reviews Materials,https://www.nature.com/reviews/pdf/reviews-ps.pdf,"docx, doc, rtf, tex",journal,20588437,United Kingdom,Nature Publishing Group,2016-ongoing,"Biomaterials (Q1); Electronic, Optical and Magnetic Materials (Q1); Energy (miscellaneous) (Q1); Materials Chemistry (Q1); Surfaces, Coatings and Films (Q1)"
4,Quarterly Journal of Economics,,,journal,"00335533, 15314650",United Kingdom,Oxford University Press,"1973-1974, 1976-ongoing",Economics and Econometrics (Q1)
5,Nature Reviews Genetics,,,journal,"14710056, 14710064",United Kingdom,Nature Publishing Group,2000-ongoing,Genetics (Q1); Genetics (clinical) (Q1); Molecular Biology (Q1)
6,Nature Reviews Molecular Cell Biology,,,journal,"14710072, 14710080",United Kingdom,Nature Publishing Group,2000-ongoing,Cell Biology (Q1); Molecular Biology (Q1)
7,Nature Reviews Cancer,,,journal,1474175X,United Kingdom,Nature Publishing Group,2001-ongoing,Cancer Research (Q1); Oncology (Q1)
8,"National vital statistics reports : from the Centers for Disease Control and Prevention, National Center for Health Statistics, National Vital Statistics System",,,journal,"15518922, 15518930",United States,US Department of Health and Human Services,1998-ongoing,Life-span and Life-course Studies (Q1)
9,Nature Reviews Immunology,,,journal,14741733,United Kingdom,Nature Publishing Group,2001-ongoing,Immunology (Q1); Immunology and Allergy (Q1); Medicine (miscellaneous) (Q1)
10,Cell,,,journal,"00928674, 10974172",United States,Cell Press,1974-ongoing,"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)"
11,Journal of Political Economy,,,journal,"00223808, 1537534X",United States,University of Chicago Press,"1969, 1973-1974, 1979-1985, 1987-ongoing",Economics and Econometrics (Q1)
12,Chemical Reviews,,,journal,"15206890, 00092665",United States,American Chemical Society,1924-ongoing,Chemistry (miscellaneous) (Q1)
13,Nature Genetics,,,journal,10614036,United Kingdom,Nature Publishing Group,1992-ongoing,Genetics (Q1)
14,Nature Reviews Neuroscience,,,journal,"14710048, 1471003X",United Kingdom,Nature Publishing Group,2000-ongoing,Neuroscience (miscellaneous) (Q1)
15,Nature Methods,,,journal,"15487091, 15487105",United Kingdom,Nature Publishing Group,2004-ongoing,Biochemistry (Q1); Biotechnology (Q1); Cell Biology (Q1); Molecular Biology (Q1)
16,New England Journal of Medicine,,,journal,"00284793, 15334406",United States,Massachusetts Medical Society,1945-ongoing,Medicine (miscellaneous) (Q1)
17,MMWR. Surveillance summaries : Morbidity and mortality weekly report. Surveillance summaries / CDC,,,journal,"15458636, 15460738",United States,Centers for Disease Control and Prevention (CDC),2002-ongoing,"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1)"
18,The Lancet Oncology,,,journal,"14702045, 14745488",United Kingdom,The Lancet Publishing Group,2000-ongoing,Oncology (Q1)
19,Journal of Finance,,,journal,"00221082, 15406261",United Kingdom,Blackwell Publishing Inc.,1946-ongoing,Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)
20,Nature Reviews Microbiology,,,journal,17401526,United Kingdom,Nature Publishing Group,2003-ongoing,Immunology and Microbiology (miscellaneous)  (Q1); Infectious Diseases (Q1); Microbiology (Q1)
21,Econometrica,,,journal,"00129682, 14680262",United Kingdom,Blackwell Publishing Inc.,"1974, 1977-1984, 1990, 1994-ongoing",Economics and Econometrics (Q1)
22,Journal of Statistical Software,,,journal,15487660,United States,University of California at Los Angeles,1996-ongoing,"Software (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)"
23,Annual Review of Biochemistry,,,journal,"15454509, 00664154",United States,Annual Reviews Inc.,"1950-1960, 1962-ongoing",Biochemistry (Q1)
24,Reviews of Modern Physics,,,journal,"00346861, 15390756",United States,American Physical Society,1929-ongoing,Physics and Astronomy (miscellaneous) (Q1)
25,Annual Review of Astronomy and Astrophysics,,,journal,"15454282, 00664146",United States,Annual Reviews Inc.,1990-ongoing,Astronomy and Astrophysics (Q1); Space and Planetary Science (Q1)
26,Nature Nanotechnology,,,journal,17483387,United Kingdom,Nature Publishing Group,2006-ongoing,"Atomic and Molecular Physics, and Optics (Q1); Bioengineering (Q1); Biomedical Engineering (Q1); Condensed Matter Physics (Q1); Electrical and Electronic Engineering (Q1); Materials Science (miscellaneous) (Q1); Nanoscience and Nanotechnology (Q1)"
27,Nature Medicine,,,journal,10788956,United Kingdom,Nature Publishing Group,1995-ongoing,"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)"
28,Nature Energy,,,journal,20587546,United States,Springer Nature,2016-ongoing,"Electronic, Optical and Magnetic Materials (Q1); Energy Engineering and Power Technology (Q1); Fuel Technology (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
29,Nature Materials,,,journal,"14764660, 14761122",United Kingdom,Nature Publishing Group,2002-ongoing,Chemistry (miscellaneous) (Q1); Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1)
30,Nature,,,journal,"14764687, 00280836",United Kingdom,Nature Publishing Group,1869-ongoing,Multidisciplinary (Q1)
31,Chemical Society Reviews,,,journal,"03060012, 14604744",United Kingdom,Royal Society of Chemistry,1972-ongoing,Chemistry (miscellaneous) (Q1)
32,The Lancet,,,journal,"01406736, 1474547X",United Kingdom,The Lancet Publishing Group,1823-ongoing,Medicine (miscellaneous) (Q1)
33,Nature Neuroscience,,,journal,10976256,United Kingdom,Nature Publishing Group,1998-ongoing,Neuroscience (miscellaneous) (Q1)
34,Annual Review of Immunology,,,journal,"15453278, 07320582",United States,Annual Reviews Inc.,1983-ongoing,Immunology (Q1); Immunology and Allergy (Q1)
35,"Vital & health statistics. Series 3, Analytical and epidemiological studies / [U.S. Dept. of Health and Human Services, Public Health Service, National Center for Health Statistics]",,,journal,8864691,United States,U.S. National Center for Health Statistics,"1972, 1983-1984, 1989, 1993, 1995, 1997, 2001, 2007, 2012, 2016-ongoing",Medicine (miscellaneous) (Q1)
36,Nature Biotechnology,,,journal,10870156,United Kingdom,Nature Publishing Group,1990-ongoing,Applied Microbiology and Biotechnology (Q1); Bioengineering (Q1); Biomedical Engineering (Q1); Biotechnology (Q1); Molecular Medicine (Q1)
37,Review of Economic Studies,,,journal,"00346527, 1467937X",United Kingdom,Oxford University Press,"1969, 1977, 1979, 1983-1985, 1996-ongoing",Economics and Econometrics (Q1)
